id,name,description,permissions,canManage,modules
1,"superuser","Super Usuario - Acceso integral a todas las funciones","system:full-access","superuser|administrador|tendero|vendedor|cliente","1:full|2:full|3:full|4:full|5:full|6:full|7:full|8:full"
2,"administrador","Administrador de app - Gestiona tiendas y usuarios","admin:manage-users|admin:manage-roles|admin:view-roles|admin:view-stats|admin:view-audit|profile:view-all|profile:view-clients|profile:view-vendors|auth:view-users|auth:create-user|auth:update-user|auth:delete-user|tienda:administrar|tienda:ver|cartera:ver","tendero|vendedor|cliente","1:full|2:write|3:read|4:read|8:full"
3,"vendedor","Vendedor - Registra vales y abonos en la tienda","auth:login|auth:logout|auth:validate|auth:forgot-password|auth:reset-password|profile:view-own|profile:edit-own|vale:crear|abono:crear|abono:ver|vale:ver-tienda|tienda:ver","","1:write|6:write"
4,"cliente","Cliente - Consulta sus propios vales","auth:login|auth:logout|auth:validate|auth:forgot-password|auth:reset-password|auth:register|profile:view-own|profile:edit-own|vale:ver-propio|abono:ver","","1:read|5:read"
5,"tendero","Tendero - Opera su tienda: vales, cobros y cartera","auth:login|auth:logout|auth:validate|auth:forgot-password|auth:reset-password|auth:create-user|profile:view-own|profile:edit-own|profile:view-clients|vale:crear|vale:ver-tienda|vale:anular|abono:crear|abono:ver|abono:anular|tienda:ver|cartera:ver|cartera:reportes","cliente","1:full|6:full|7:full|8:full"
