id,name,description,buttonLabel,href,icon,showInNav,permRead,permWrite,permFull
1,"Mi Perfil","Ver y editar información de tu perfil","Ver Perfil","/dashboard/profile","👤","true","profile:view-own","profile:view-own|profile:edit-own","profile:view-own|profile:edit-own"
2,"Gestionar Usuarios","Ver y administrar todos los usuarios del sistema","Ver Usuarios","/dashboard/users","👥","true","auth:view-users","auth:view-users|auth:create-user|auth:update-user|admin:manage-users","auth:view-users|auth:create-user|auth:update-user|auth:delete-user|admin:manage-users|admin:manage-roles"
3,"Auditoría","Registro de eventos y acciones del sistema","Ver Auditoría","/dashboard/audit","📋","true","admin:view-audit|admin:view-stats","admin:view-audit|admin:view-stats","admin:view-audit|admin:view-stats"
4,"Roles y Permisos","Gestionar roles, permisos y accesos del sistema","Gestionar","/dashboard/roles","🛡️","true","admin:view-roles","admin:view-roles|admin:manage-roles","admin:view-roles|admin:manage-roles"
5,"Mis Vales","Consulta tus vales y deudas pendientes","Ver mis vales","/dashboard/mis-vales","🧾","true","vale:ver-propio","vale:ver-propio","vale:ver-propio"
6,"Nueva Venta","Registrar una compra al fiado para un cliente","Registrar vale","/dashboard/vale-nuevo","➕","true","vale:crear","vale:crear|abono:crear","vale:crear|abono:crear|vale:anular"
7,"Cartera","Cartera activa: vales pendientes y cobros de la tienda","Ver cartera","/dashboard/cartera","💼","true","vale:ver-tienda|abono:ver","vale:ver-tienda|abono:ver|abono:crear","vale:ver-tienda|abono:ver|abono:crear|vale:anular|abono:anular|cartera:reportes"
8,"Mi Tienda","Gestionar la información y el equipo de la tienda","Mi tienda","/dashboard/tienda","🏪","true","tienda:ver","tienda:ver","tienda:ver|tienda:administrar"
